idx,status,contact,legal_code,name
1,폐업,251-1255,광주광역시 북구 두암동 927-1,엔젤동물병원
2,폐업,576-7093,광주광역시 북구 신용동 691번지,첨단동물병원
3,폐업,625712808,광주광역시 북구 본촌동 378-6번지,광주광역시동물보호소부속동물병원
4,폐업,529-7775,광주광역시 북구 양산동 273-7번지,운암동물병원
5,폐업,,,광주동물보호소 부속 동물병원
6,폐업,941-1529,대구광역시 북구 대현동 229-19번지,북부동물병원
7,폐업,959-1523,대구광역시 북구 산격동 495-42,복현동물병원
8,폐업,,대구광역시 북구 대현동 270-13  번지,세진동물병원
9,폐업,424-2455,대구광역시 북구 침산동 222-7번지,플러스동물병원
10,폐업,325-7965,대구광역시 북구 읍내동 443-3번지,강북동물병원약품
11,폐업,952-7975,대구광역시 북구 동변동 686-3번지,수동물병원
12,폐업,,대구광역시 북구 태전동 476-1번지,대성동물병원
13,폐업,,대구광역시 북구 노원동3가 772-2   번지,천일동물병원
14,폐업,357-2188,대구광역시 북구 고성동2가 117-6번지,서부동물병원
15,폐업,956-0858,대구광역시 북구 산격동 1291-20번지,다나동물병원
16,폐업,053-325-1121,대구광역시 북구 구암동 811-6번지,임프로바이오동물병원
17,폐업,053-325-1121,대구광역시 북구 구암동 811-6번지,임프로바이오동물병원
18,폐업,325-1121,대구광역시 북구 구암동 811-6번지,임프로바이오
19,폐업,,경상남도 창녕군 대합면 십이리 438-3번지,대합가축병원
20,폐업,,경상남도 창녕군 창녕읍 술정리 171-1번지,자연동물병원
21,폐업,055-533-3525,경상남도 창녕군 창녕읍 교리 992-10번지,박수의과병원
22,폐업,055-533-3671,경상남도 창녕군 대지면 구미리 203-3번지,명성동물병원
23,폐업,055-533-8220,경상남도 창녕군 창녕읍 술정리 171-1번지,황영균동물병원
24,폐업,055-533-4949,경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반,창생동물병원
25,폐업,,경상남도 창녕군 이방면 거남리 397-1번지,이방가축병원&lt;산업동물출장진료전문병원&gt;
26,폐업,055-526-2140,경상남도 창녕군 남지읍 남지리 612-15번지 3통1반,우리가축병원
27,폐업,674-7194,경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호,백호종합동물병원
