legal_code,income_level
1111010100,9049.02
1111010200,5544.59
1111010300,7078.69
1111010400,5403.79
1111010500,5345.71
1111010600,5480.03
1111010700,5675.54
1111010800,4784.15
1111010900,4749.17
1111011000,4302
1111011100,5638.12
1111011200,4941.51
1111011300,4943.26
1111011400,4560.52
1111011500,5152.87
1111011600,6699.8
1111011700,6598.27
1111011800,9203.43
1111011900,7285.86
1111012000,8127.08
1111012100,7340.22
1111012200,7638.77
1111012300,8312.43
1111012400,5081.21
1111012500,6334.7
1111012600,8501.67
1111012700,7161.4
1111012800,5468.59
1111012900,4311.09
1111013000,3647.67
1111013100,2764.42
1111013200,4103.66
1111013300,4269.5
1111013400,4199.2
1111013500,9184.04
1111013600,6353.7
1111013700,4371.47
1111013800,11933.19
1111013900,5545.68
1111014000,6082.54
1111014100,5710.56
1111014200,5715.89
1111014300,5335.81
1111014400,5696.88
1111014500,4409.57
1111014600,7168.63
1111014700,5693.9
1111014800,5349.21
1111014900,5039.73
1111015000,3771
1111015100,4960.92
1111015200,3703.98
1111015300,2973.83
1111015400,5785.87
1111015500,5464.29
1111015600,8735.15
1111015700,4087.63
1111015800,5669.22
1111015900,3178.03
1111016000,3567.91
1111016100,6625.06
1111016200,3782.97
1111016300,5572.95
1111016400,3692.62
1111016500,3522.07
1111016600,3604.14
1111016700,3002.39
1111016800,4688.85
1111016900,7149.03
1111017000,6465.37
1111017100,5707.66
1111017200,5056.93
1111017300,4089.07
1111017400,3468.01
1111017500,3917.41
1111017600,6355.45
1111017700,6338.5
1111017800,3690
1111017900,4451.5
1111018000,5704.8
1111018100,3643.11
1111018200,6388.53
1111018300,10248.85
1111018400,5784.19
1111018500,5139.34
1111018600,4845.22
1111018700,4367.37
1114010100,10062.75
1114010200,9189.7
1114010300,8740.6
1114010400,7885
1114010500,9106.89
1114010700,10401
1114010800,9788
1114011000,8626.63
1114011200,5321.58
1114011300,5644.67
1114011400,8379.33
1114011600,8823.5
1114011700,8081.5
1114011800,6636.47
1114011900,4800.67
1114012100,4809.91
1114012200,4839.48
1114012300,5257.5
1114012400,18108.67
1114012500,12673.73
1114012600,16904.8
1114012700,20000
1114012800,5322.85
1114012900,5028.38
1114013000,4922.68
1114013100,6928.83
1114013200,4318.48
1114013300,4495.64
1114013400,3935.14
1114013500,4221.92
1114013600,4586.1
1114013700,4070.96
1114013800,5023.45
1114013900,4894.48
1114014000,3744.95
1114014100,5295.33
1114014200,5253.56
1114014300,6211.07
1114014400,4207.37
1114014500,3981.56
1114014600,3524.27
1114014700,3204.44
1114014800,5024.93
1114014900,3803.02
1114015000,4916.87
1114015100,4168.24
1114015200,3671.48
1114015300,4578.51
1114015400,3562.26
1114015500,4983.88
1114015600,4081.56
1114015700,3576.84
1114015800,5396.52
1114015900,4137.63
1114016000,3501.89
1114016100,5206.81
1114016200,4103.73
1114016300,3258.35
1114016400,4004.46
1114016500,3607.53
1114016600,7337.2
1114016700,5718.23
1114016800,4979.9
1114016900,6193
1114017000,5596
1114017100,3778.05
1114017200,3442.5
1114017300,3944.92
1114017400,3233.45
1117010100,4855.74
1117010200,4740.91
1117010400,5949.85
1117010500,4993.31
1117010600,3626
1117010700,5053.49
1117010800,3854.19
1117010900,4216.07
1117011000,4765.19
1117011100,4924.4
1117011200,4762.21
1117011300,3978.18
1117011400,4340.64
1117011500,4718.38
1117011600,5037.87
1117011700,4017.35
1117011800,4688.41
1117011900,5484.75
1117012000,3976.65
1117012100,4609.48
1117012200,3478.62
1117012300,4479.83
1117012400,6437.66
1117012500,6382.24
1117012600,6011.1
1117012700,6190.2
1117012800,5856.27
1117012900,7292.89
1117013000,7216.47
1117013100,8144.87
1117013200,9098.59
1117013300,6038.32
1117013400,9367.63
1117013500,5128
1117013600,7137.76
1120010100,3866.48
1120010200,4120.57
1120010300,4149.77
1120010400,4478.54
1120010500,3957.2
1120010600,3886.71
1120010700,5223.06
1120010800,5162.03
1120010900,3765.25
1120011000,4521.64
1120011100,4047.4
1120011200,4285.78
1120011300,5073.55
1120011400,6728.64
1120011500,5657.18
1120011800,4369.43
1120012200,4216.23
1121510100,5054.02
1121510200,6992.71
1121510300,6037.69
1121510400,5997.21
1121510500,5425.21
1121510700,6177.5
1121510900,5455.82
1123010100,3211.2
1123010200,3505.55
1123010300,3409
1123010400,3700.46
1123010500,3673.98
1123010600,3908.2
1123010700,3244.28
1123010800,4522.99
1123010900,4105.24
1123011000,3796.7
1126010100,3647.99
1126010200,3987.76
1126010300,3967.03
1126010400,4176.23
1126010500,3927.86
1126010600,3837.79
1129010100,7694.52
1129010200,4447.75
1129010300,3783.38
1129010400,4343.32
1129010500,3323.05
1129010600,3864.35
1129010700,4341.44
1129010800,3893.4
1129010900,4055.1
1129011000,3714.87
1129011100,3537.26
1129011200,3786.67
1129011300,4321.74
1129011400,4243.59
1129011500,4570.28
1129011600,4141.75
1129011700,4319.29
1129011800,4268
1129011900,4289.87
1129012000,4253.49
1129012100,4024.16
1129012200,3506.71
1129012300,3586.95
1129012400,5125.67
1129012500,4492.33
1129012600,3852.9
1129012700,3643.75
1129012800,3632.11
1129012900,3594.18
1129013000,2901.69
1129013100,3984.86
1129013200,3577.86
1129013300,3668.91
1129013400,3845.54
1129013500,3674.34
1129013600,3540.47
1129013700,3471.29
1129013800,3804.88
1129013900,3600.15
1130510100,3467.21
1130510200,3640.1
1130510300,3657.81
1130510400,3679.82
1132010500,3714.43
1132010600,3824.87
1132010700,3733.22
1132010800,3597.97
1135010200,3981.4
1135010300,4722.2
1135010400,4133.37
1135010500,3676.98
1135010600,3321.14
1138010100,3952.18
1138010200,4622.89
1138010300,4340.3
1138010400,4394.9
1138010500,4537.62
1138010600,4531.56
1138010700,4056.6
1138010800,4606.14
1138010900,3946.82
1138011000,4411.64
1138011400,3885.86
1141010100,4580.77
1141010200,4091.79
1141010300,4725.82
1141010400,3495.26
1141010500,4034.65
1141010600,4370.99
1141010700,3738.73
1141010800,3769.35
1141010900,3012.2
1141011000,4378.6
1141011100,4138.59
1141011200,4804.99
1141011300,6148.3
1141011400,5255.71
1141011500,3846.48
1141011600,5394.79
1141011700,6218.82
1141011800,3830.59
1141011900,4564.93
1141012000,3944.75
1144010100,4825.7
1144010200,4066.56
1144010300,3955.16
1144010400,4780.15
1144010500,5994.17
1144010600,4439.83
1144010700,5438.95
1144010800,4570.4
1144010900,4971.68
1144011000,4758.39
1144011100,5606.41
1144011200,6163.41
1144011300,5239.55
1144011400,6488.19
1144011500,7339.56
1144011600,4433.5
1144011700,4495
1144011800,5407.74
1144012000,9187.73
1144012100,8528.41
1144012200,7448.79
1144012300,5566.86
1144012400,7419.95
1144012500,5903.98
1144012600,5329.86
1144012700,5763.97
1147010100,4828.51
1147010200,5443.69
1147010300,3644.81
1150010100,5252.97
1150010200,5654.74
1150010300,4585.7
1150010400,5241.12
1150010500,6154.05
1150010600,5415.03
1150010700,6349
1150010800,4831.22
1150010900,4573.18
1150011000,5674.15
1150011100,3571
1150011200,3535.83
1150011300,3437.58
1153010100,4030.19
1153010200,3716.19
1153010300,4498.31
1153010600,4061.91
1153010700,4331.64
1153010800,3740.72
1153010900,4001.42
1153011000,4352.69
1153011100,3643.73
1153011200,4215.71
1154510100,4121.77
1154510200,4384.74
1154510300,4085.31
1156010100,4341.53
1156010200,3257
1156010300,3220.6
1156010400,4960.7
1156010500,4794.27
1156010600,3783.24
1156010700,3787.04
1156010800,4240.42
1156010900,3350.82
1156011000,7904
1156011100,4172.75
1156011200,3830.77
1156011300,4174.92
1156011400,4818.7
1156011500,4097.98
1156011600,5002.99
1156011700,5047.66
1156011800,4054.46
1156011900,3328.22
1156012000,3628.18
1156012100,3587.13
1156012200,3609.43
1156012300,3679.1
1156012400,3589
1156012500,3074.37
1156012600,3584.73
1156012700,3834.54
1156012800,4691.48
1156012900,4513.96
1156013000,4792.59
1156013200,4604.09
1156013300,4690.84
1159010100,6067.18
1159010200,5000.16
1159010300,5626.84
1159010400,4445.42
1159010500,5409.45
1159010600,5359.81
1159010700,5417.95
1159010800,5745.48
1159010900,5184.02
1162010100,4913.29
1162010200,5017.06
1162010300,6846.29
1165010100,10292.98
1165010200,8871.26
1165010300,12384.41
1165010400,9106.1
1165010600,9797.19
1165010700,11426.04
1165010800,11087.97
1165010900,9336.18
1165011000,11148.21
1165011100,10247.55
1168010100,14566.28
1168010300,8492.84
1168010400,14058.2
1168010500,14687.22
1168010600,13523.29
1168010700,12828.44
1168010800,13078.13
1168011000,16701.43
1168011100,11208.3
1168011200,12467.42
1168011300,9195.11
1168011400,10611.15
1168011500,13308.37
1168011800,10121.65
1171010100,10345.83
1171010300,5283.76
1171010400,8696.54
1171010500,9495.45
1171010600,9961.98
1171010700,7281.91
1171010800,6878.3
1171010900,4886.9
1171011100,8640.37
1171011200,6735.62
1171011300,5404.38
1171011400,4974.27
1174010100,6783.31
1174010200,7281.59
1174010300,6160.86
1174010500,6449.34
1174010600,5761.6
1174010700,6043.68
1174010800,6010.61
1174010900,5327.28
1174011000,4508.89
2611010100,2169.08
2611010200,1866.83
2611010300,2128.96
2611010400,2487.91
2611010500,2260.39
2611010600,2152.19
2611010700,2472.55
2611010800,3215.44
2611010900,2445
2611011100,1678
