name,neutering_price
서울특별시 종로구,270000 
서울특별시 중구,435000 
서울특별시 용산구,300000 
서울특별시 성동구,350000 
서울특별시 광진구,277500 
서울특별시 동대문구,170000 
서울특별시 중랑구,314500 
서울특별시 성북구,213800 
서울특별시 강북구,336666 
서울특별시 도봉구,220000 
서울특별시 노원구,362500 
서울특별시 은평구,237500 
서울특별시 서대문구,335000 
서울특별시 마포구,243333 
서울특별시 양천구,190000 
서울특별시 강서구,267500 
서울특별시 구로구,250000 
서울특별시 금천구,289760 
서울특별시 영등포구,300000 
서울특별시 동작구,340000 
서울특별시 관악구,190000 
서울특별시 서초구,248333 
서울특별시 강남구,324750 
서울특별시 송파구,222500 
서울특별시 강동구,323333 
부산광역시 중구,300000 
부산광역시 서구,335000 
부산광역시 동구,290000 
부산광역시 영도구,330000 
부산광역시 부산진구,333333 
부산광역시 동래구,220000 
부산광역시 남구,283333 
부산광역시 북구,320000 
부산광역시 강서구,310000 
부산광역시 해운대구,252500 
부산광역시 사하구,280000 
부산광역시 금정구,250000 
부산광역시 연제구,335000 
부산광역시 수영구,300000 
부산광역시 사상구,340000 
대구광역시 중구,276666 
대구광역시 동구,285000 
대구광역시 서구,300000 
대구광역시 남구,350000 
대구광역시 북구,270000 
대구광역시 수성구,317500 
대구광역시 달서구,315000 
대구광역시 달성군,280000 
인천광역시 중구,300000 
인천광역시 동구,290000 
인천광역시 미추홀구,236666 
인천광역시 연수구,385000 
인천광역시 남동구,248466 
인천광역시 부평구,309666 
인천광역시 계양구,240000 
인천광역시 서구,298333 
인천광역시 강화군,330000 
인천광역시 옹진군,0 
광주광역시 동구,300000 
광주광역시 서구,400000 
광주광역시 남구,400000 
광주광역시 북구,377500 
광주광역시 광산구,340000 
대전광역시 동구,250000 
대전광역시 중구,350000 
대전광역시 서구,325000 
대전광역시 유성구,283333 
대전광역시 대덕구,370000 
울산광역시 중구,383333 
울산광역시 남구,440000 
울산광역시 동구,370000 
울산광역시 북구,353333 
울산광역시 울주군,200000 
경기도 수원시 장안구,345000 
경기도 수원시 권선구,290000 
경기도 수원시 팔달구,350000 
경기도 수원시 영통구,366666 
경기도 성남시 수정구,300000 
경기도 성남시 중원구,400000 
경기도 성남시 분당구,317250 
경기도 안양시 만안구,233333 
경기도 안양시 동안구,330000 
경기도 안산시 상록구,300000 
경기도 안산시 단원구,300000 
경기도 용인시 처인구,330000 
경기도 용인시 기흥구,262500 
경기도 용인시 수지구,402500 
경기도 부천시,320750 
경기도 광명시,396666 
경기도 평택시,362000 
경기도 과천시,190000 
경기도 오산시,195000 
경기도 시흥시,300000 
경기도 군포시,300000 
경기도 의왕시,300000 
경기도 하남시,283333 
경기도 이천시,239000 
경기도 안성시,274000 
경기도 김포시,320000 
경기도 화성시,205000 
경기도 광주시,273333 
경기도 여주시,335000 
경기도 양평군,300000 
경기도 고양시 덕양구,330000 
경기도 고양시 일산동구,325000 
경기도 고양시 일산서구,400000 
경기도 의정부시,219833 
경기도 동두천시,227000 
경기도 구리시,400000 
경기도 남양주시,300000 
경기도 파주시,296666 
경기도 양주시,283333 
경기도 포천시,375000 
경기도 연천군,290000 
경기도 가평군,300000 
강원도 춘천시,363333 
강원도 원주시,359833 
강원도 강릉시,250000 
강원도 동해시,330000 
강원도 태백시,0 
강원도 속초시,370000 
강원도 삼척시,380000 
강원도 홍천군,380000 
강원도 횡성군,300000 
강원도 영월군,300000 
강원도 평창군,330000 
강원도 정선군,250000 
강원도 철원군,250000 
강원도 화천군,300000 
강원도 양구군,320000 
강원도 인제군,350000 
강원도 고성군,390000 
강원도 양양군,400000 
충청북도 청주시 상당구,375000 
충청북도 청주시 흥덕구,300000 
충청북도 청주시 서원구,390000 
충청북도 청주시 청원구,250000 
충청북도 충주시,236666 
충청북도 제천시,200000 
충청북도 보은군,300000 
충청북도 옥천군,0 
충청북도 영동군,0 
충청북도 증평군,0 
충청북도 진천군,0 
충청북도 괴산군,0 
충청북도 음성군,0 
충청북도 단양군,0 
충청남도 천안시 동남구,300000 
충청남도 천안시 서북구,276000 
충청남도 공주시,250000 
충청남도 보령시,270000 
충청남도 아산시,330000 
충청남도 서산시,310000 
충청남도 논산시,220000 
충청남도 계룡시,0 
충청남도 당진시,300000 
충청남도 금산군,0 
충청남도 부여군,0 
충청남도 서천군,0 
충청남도 청양군,0 
충청남도 홍성군,600000 
충청남도 예산군,0 
충청남도 태안군,360000 
전라북도 전주시 완산구,265000 
전라북도 전주시 덕진구,200000 
전라북도 군산시,203333 
전라북도 익산시,380000 
전라북도 정읍시,330000 
전라북도 남원시,300000 
전라북도 김제시,300000 
전라북도 완주군,0 
전라북도 진안군,0 
전라북도 무주군,0 
전라북도 장수군,0 
전라북도 임실군,0 
전라북도 순창군,0 
전라북도 고창군,0 
전라북도 부안군,0 
전라남도 목포시,250000 
전라남도 여수시,400000 
전라남도 순천시,325000 
전라남도 나주시,395000 
전라남도 광양시,200000 
전라남도 담양군,0 
전라남도 곡성군,0 
전라남도 구례군,0 
전라남도 고흥군,0 
전라남도 보성군,0 
전라남도 화순군,0 
전라남도 장흥군,0 
전라남도 강진군,0 
전라남도 해남군,0 
전라남도 영암군,0 
전라남도 무안군,0 
전라남도 함평군,0 
전라남도 영광군,0 
전라남도 장성군,0 
전라남도 완도군,0 
전라남도 진도군,0 
전라남도 신안군,0 
경상북도 포항시 남구,220000 
경상북도 포항시 북구,300000 
경상북도 경주시,300000 
경상북도 김천시,330000 
경상북도 안동시,300000 
경상북도 구미시,300000 
경상북도 영주시,250000 
경상북도 영천시,330000 
경상북도 상주시,250000 
경상북도 문경시,220000 
경상북도 경산시,280000 
경상북도 군위군,0 
경상북도 의성군,0 
경상북도 청송군,0 
경상북도 영양군,0 
경상북도 영덕군,0 
경상북도 청도군,0 
경상북도 고령군,0 
경상북도 성주군,0 
경상북도 칠곡군,0 
경상북도 예천군,0 
경상북도 봉화군,0 
경상북도 울진군,0 
경상북도 울릉군,0 
경상남도 창원시 의창구,290000 
경상남도 창원시 성산구,350000 
경상남도 창원시 마산합포구,250000 
경상남도 창원시 마산회원구,270000 
경상남도 창원시 진해구,200000 
경상남도 진주시,290000 
경상남도 통영시,280000 
경상남도 사천시,250000 
경상남도 김해시,390000 
경상남도 밀양시,220000 
경상남도 거제시,220000 
경상남도 양산시,300000 
경상남도 의령군,0 
경상남도 함안군,0 
경상남도 창녕군,0 
경상남도 고성군,0 
경상남도 남해군,0 
경상남도 하동군,0 
경상남도 산청군,0 
경상남도 함양군,0 
경상남도 거창군,0 
경상남도 합천군,0 
제주특별자치도 제주시,350000 
제주특별자치도 서귀포시,350000 
