,사업유형,기존주택계,신규주택계,사업시작,사업완료,사업시행인가,담당자
경기도 수원시,재건축,1320,0,,,,김민지(031-228-3397)
경기도 수원시,재건축,220,0,2020,,,이용석(031-228-3414)
경기도 수원시,재건축,228,0,2020,,,이용석(031-228-3414)
경기도 수원시,재건축,1484,0,2022,,,이용석(031-228-3414)
경기도 수원시,재건축,353,0,2024,,,이용석(031-228-3414)
경기도 수원시,재건축,600,0,2026,,,이용석(031-228-3414)
경기도 수원시,도시환경,93,0,,,,손주연(031-228-3497)
경기도 수원시,재개발,907,929,2012,,,신동원(031-228-3393)
경기도 수원시,재개발,355,556,2006,2026,,신동원(031-228-3393)
경기도 수원시,재건축,380,442,2016,2026,,이용석(031-228-3414)
경기도 수원시,재건축,370,439,2016,2026,,이용석(031-228-3414)
경기도 수원시,재건축,2440,4002,2016,2025,,이용석(031-228-3414)
경기도 수원시,재건축,1185,1305,2006,2025,'20.08.07,김민지(031-228-3397)
경기도 수원시,재건축,404,1272,2016,2026,,이용석(031-228-3414)
경기도 수원시,재개발,1229,1302,2006,,'12.04.26,박정미(031-228-3483)
경기도 수원시,주거환경개선,916,0,2019,2022,,백 동 문(031-228-3499)
경기도 수원시,재개발,1018,1154,2006,,'17.03.09,정재웅(031-228-2417)
경기도 수원시,재개발,1378,2178,2006,,'12.06.18,정재웅(031-228-2417)
경기도 수원시,재개발,1406,2607,2006,,'15.05.19,신동원(031-228-3393)
경기도 수원시,재개발,2061,3432,2006,,'15.12.11,박정미(031-228-3483)
경기도 수원시,재개발,518,930,2006,,'17.12.05,정재웅(031-228-2417)
경기도 수원시,재개발,2830,3603,2006,2022,'16.06.29,박정미(031-228-3483)
경기도 수원시,재개발,1672,2586,2006,2022,'15.12.31,정재웅(031-228-2417)
경기도 수원시,재개발,406,666,2006,2022,'15.07.23,신동원(031-228-3393)
경기도 수원시,재건축,941,1130,2006,,'18.05.23,김민지(031-228-3397)
경기도 수원시,주거환경개선,5822,4871,2006,2021,'08.11.27,손주연(031-228-3497)
경기도 수원시,재개발,145,198,2006,2014,'10.11.25,박정미(031-228-3483)
경기도 수원시,재건축,1166,1754,2003,2011,'05.03.18,김민지(031-228-3397)
경기도 수원시,재건축,350,481,1999,2009,'04.12.22,김민지(031-228-3397)
경기도 수원시,재건축,2820,3391,2002,2008,'04.12.31,이용석(031-228-3414)
경기도 수원시,재건축,1630,1690,2001,2009,'05.04.06,김민지(031-228-3397)
경기도 수원시,재건축,758,1018,2003,2009,'05.04.26,김민지(031-228-3397)
경기도 수원시,재건축,1990,2571,2003,2009,'05.04.04,김민지(031-228-3397)
경기도 수원시,재건축,830,1351,2003,2009,'05.05.09,김민지(031-228-3397)
경기도 수원시,재건축,590,431,1997,2009,'05.05.17,김민지(031-228-3397)
경기도 수원시,재건축,696,807,2003,2009,'05.05.17,김민지(031-228-3397)
경기도 수원시,주거환경개선,2787,2682,2006,2014,'07.11.06,손주연(031-228-3497)
경기도 수원시,주거환경관리,1247,0,2015,2019,,박기복(031-228-3420)
경기도 수원시,주거환경관리,1680,0,2014,2016,,손주연(031-228-3497)
경기도 성남시,재개발,6544,846,,,,이성제(031-729-4422)
